current_day,severity,true_severity,fault_class
1,1.067303765335577e-08,1.2032721913017601e-09,1
10,9.38466347201298e-08,1.31659403938228e-07,1
11,1.3491998107761366e-07,1.62009125896786e-07,1
12,1.6762147949614537e-07,2.09935170313361e-07,1
13,2.5982665116245805e-07,2.76696351304496e-07,1
14,3.7242060589746716e-07,3.66119847136889e-07,1
15,4.846513529434166e-07,4.73348596460476e-07,1
16,5.181587061479776e-07,5.60515528653128e-07,1
17,6.839983609045157e-07,6.20263512540293e-07,1
18,6.803806202793342e-07,6.88073695054236e-07,1
19,8.10174251736224e-07,7.75846969267974e-07,1
2,3.990105295184568e-09,2.45936198070142e-09,1
20,9.087932196330847e-07,9.47265821426857e-07,1
21,1.098659264830566e-06,1.05315808795968e-06,1
22,1.2804378557269057e-06,1.25485304763611e-06,1
23,1.4334205581473873e-06,1.379080683946e-06,1
24,1.7031429110610077e-06,1.63810883130677e-06,1
25,1.7903726583136512e-06,1.80463627555418e-06,1
3,3.849141250912287e-09,4.2972377375414e-09,1
4,3.952905337060588e-09,7.50147860987054e-09,1
5,3.808505022394041e-09,1.57520993958061e-08,1
6,5.015327875972968e-09,3.32897486822034e-08,1
7,2.2776593354173525e-08,4.70799876921609e-08,1
8,1.2000133723230363e-07,7.03436111363926e-08,1
9,1.1859549018228958e-08,8.99457157261763e-08,1
26,1.975358179391355e-06,1.95171254015227e-06,1
27,2.0842000007148466e-06,2.1221197126897e-06,1
28,2.4394734007657976e-06,2.39348944611734e-06,1
29,2.5993665828073513e-06,2.64649358846239e-06,1
30,2.8917163237914064e-06,2.8826271427774e-06,1
31,3.2177481701057243e-06,3.27534993881495e-06,1
32,3.552502711136017e-06,3.6e-06,1
